mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_random_state,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.006483197212219238,0.0004285573959350586,0.07476222515106201,0.0006545782089233398,best,27,0.4,0.5,63,20,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.5, 'max_features': 63, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5718276515151514,0.5,0.5359138257575757,0.03591382575757568,1070
0.006173253059387207,0.00011456012725830078,0.07543861865997314,0.0002599954605102539,random,27,0.2,0.5,56,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.2, 'min_samples_leaf': 0.5, 'max_features': 56, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5071113782051282,0.5,0.5035556891025641,0.003555689102564097,3798
0.013792037963867188,0.0010402202606201172,0.0774461030960083,0.0017048120498657227,best,27,0.7000000000000001,0.1,70,50,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.1, 'max_features': 70, 'max_depth': 50, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.008144617080688477,0.0001571178436279297,0.0736994743347168,0.00032520294189453125,best,27,0.1,0.4,84,5,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.4, 'max_features': 84, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.007814764976501465,0.0001703500747680664,0.08796906471252441,0.005975008010864258,best,27,1.0,0.4,112,50,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 1.0, 'min_samples_leaf': 0.4, 'max_features': 112, 'max_depth': 50, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.007033109664916992,0.0001385211944580078,0.08213448524475098,0.0004324913024902344,best,27,0.30000000000000004,0.1,7,20,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.1, 'max_features': 7, 'max_depth': 20, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5523574082167831,0.49739583333333326,0.5248766207750581,0.02748078744172494,2105
0.006413698196411133,0.00017261505126953125,0.07596695423126221,0.0002187490463256836,random,27,0.8,0.30000000000000004,91,35,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.8, 'min_samples_leaf': 0.30000000000000004, 'max_features': 91, 'max_depth': 35, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4835300116550116,0.49652777777777773,0.49002889471639466,0.006498883061383076,4750
0.007871031761169434,0.0003756284713745117,0.08043968677520752,0.0032006502151489258,best,27,0.6,0.1,63,30,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.1, 'max_features': 63, 'max_depth': 30, 'criterion': 'gini', 'class_weight': 'balanced'}",0.558672057109557,0.5208333333333333,0.5397526952214451,0.018919361888111885,940
0.008058309555053711,0.00019693374633789062,0.07611656188964844,7.62939453125e-06,best,27,1.0,0.30000000000000004,119,45,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 1.0, 'min_samples_leaf': 0.30000000000000004, 'max_features': 119, 'max_depth': 45, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.006496787071228027,0.00014960765838623047,0.0915144681930542,0.00812065601348877,random,27,0.4,0.2,42,5,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.2, 'max_features': 42, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5524384469696969,0.5260416666666666,0.5392400568181818,0.013198390151515138,975
0.0070770978927612305,0.0006057024002075195,0.07899045944213867,0.00042939186096191406,random,27,0.30000000000000004,0.30000000000000004,1,10,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.30000000000000004, 'max_features': 1, 'max_depth': 10, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.007619023323059082,8.594989776611328e-05,0.07753252983093262,0.00244903564453125,best,27,0.1,0.4,91,35,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.4, 'max_features': 91, 'max_depth': 35, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.007230043411254883,0.000148773193359375,0.0850214958190918,0.0019168853759765625,best,27,0.2,0.30000000000000004,35,15,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.2, 'min_samples_leaf': 0.30000000000000004, 'max_features': 35, 'max_depth': 15, 'criterion': 'gini', 'class_weight': 'balanced'}",0.530237470862471,0.5208333333333333,0.5255354020979022,0.004702068764568856,2017
0.0067920684814453125,0.0003218650817871094,0.0767672061920166,0.00044417381286621094,random,27,0.5,0.4,84,40,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.4, 'max_features': 84, 'max_depth': 40, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4835300116550116,0.4947916666666666,0.4891608391608391,0.005630827505827496,4799
0.006315350532531738,0.00015223026275634766,0.0771254301071167,0.00014841556549072266,best,27,0.8,0.5,1,40,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.8, 'min_samples_leaf': 0.5, 'max_features': 1, 'max_depth': 40, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.007346034049987793,0.00027883052825927734,0.08544790744781494,0.002986311912536621,best,27,0.5,0.2,28,20,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.2, 'max_features': 28, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5464115311771562,0.5009223090277777,0.523666920102467,0.02274461107468928,2120
0.007140398025512695,0.0005271434783935547,0.07873499393463135,0.0011829137802124023,random,27,0.6,0.4,77,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.4, 'max_features': 77, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4835300116550116,0.4947916666666666,0.4891608391608391,0.005630827505827496,4799
0.006646513938903809,0.0001138448715209961,0.07727110385894775,0.001154780387878418,random,27,0.7000000000000001,0.5,49,20,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.5, 'max_features': 49, 'max_depth': 20, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.006773233413696289,7.43865966796875e-05,0.09132218360900879,0.00637507438659668,best,27,0.30000000000000004,0.30000000000000004,7,30,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.30000000000000004, 'max_features': 7, 'max_depth': 30, 'criterion': 'gini', 'class_weight': 'balanced'}",0.49795126748251745,0.5208333333333333,0.5093923004079254,0.011441032925407907,3047
0.0070302486419677734,0.0005567073822021484,0.07500243186950684,0.0011780261993408203,best,27,0.7000000000000001,0.5,63,25,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.5, 'max_features': 63, 'max_depth': 25, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5718276515151514,0.5,0.5359138257575757,0.03591382575757568,1070
0.0065381526947021484,0.0001666545867919922,0.09060442447662354,0.005511879920959473,random,27,0.7000000000000001,0.2,77,50,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.2, 'max_features': 77, 'max_depth': 50, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4835300116550116,0.49739583333333326,0.49046292249417245,0.0069329108391608385,4743
0.010147929191589355,0.003703474998474121,0.08995342254638672,0.004555463790893555,random,27,0.2,0.30000000000000004,1,40,gini,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.2, 'min_samples_leaf': 0.30000000000000004, 'max_features': 1, 'max_depth': 40, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.007604479789733887,0.0010849237442016602,0.09055304527282715,0.007306575775146484,random,27,0.30000000000000004,0.30000000000000004,56,30,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.30000000000000004, 'max_features': 56, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5499162296037294,0.4947916666666666,0.522353948135198,0.02756228146853143,2223
0.012836813926696777,0.004411101341247559,0.08644413948059082,0.008184432983398438,best,27,0.6,0.30000000000000004,84,5,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.6, 'min_samples_leaf': 0.30000000000000004, 'max_features': 84, 'max_depth': 5, 'criterion': 'gini', 'class_weight': 'balanced'}",0.4949755973193473,0.5208333333333333,0.5079044653263403,0.012928868006992972,3071
0.006542325019836426,2.658367156982422e-05,0.07533895969390869,0.0009969472885131836,random,27,0.1,0.5,98,45,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.5, 'max_features': 98, 'max_depth': 45, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5071113782051282,0.5,0.5035556891025641,0.003555689102564097,3798
0.008481025695800781,0.0001850128173828125,0.08292245864868164,0.004711151123046875,best,27,0.5,0.30000000000000004,49,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.30000000000000004, 'max_features': 49, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.530237470862471,0.5208333333333333,0.5255354020979022,0.004702068764568856,2017
0.006505370140075684,6.830692291259766e-05,0.07540059089660645,0.0007085800170898438,random,27,0.7000000000000001,0.5,42,5,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.5, 'max_features': 42, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.00716090202331543,0.0006723403930664062,0.07890427112579346,0.0004709959030151367,best,27,0.4,0.5,98,45,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.5, 'max_features': 98, 'max_depth': 45, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5718276515151514,0.5,0.5359138257575757,0.03591382575757568,1070
0.006476283073425293,0.00010073184967041016,0.07972264289855957,0.0003306865692138672,random,27,0.5,0.5,14,40,entropy,balanced,"{'splitter': 'random', 'random_state': 27, 'min_samples_split': 0.5, 'min_samples_leaf': 0.5, 'max_features': 14, 'max_depth': 40, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.5,0.5,0.5,0.0,4171
0.010784268379211426,1.3232231140136719e-05,0.09120392799377441,0.0052165985107421875,best,27,0.1,0.2,77,30,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.1, 'min_samples_leaf': 0.2, 'max_features': 77, 'max_depth': 30, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.548228074009324,0.5348307291666666,0.5415294015879953,0.006698672421328711,761
0.008586764335632324,0.0006514787673950195,0.0889056921005249,0.0027817487716674805,best,27,0.7000000000000001,0.2,105,10,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.7000000000000001, 'min_samples_leaf': 0.2, 'max_features': 105, 'max_depth': 10, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5472155448717948,0.5208333333333333,0.534024439102564,0.013191105769230771,1533
0.007594943046569824,0.00013005733489990234,0.08282709121704102,0.0022954940795898438,best,27,0.4,0.30000000000000004,21,5,entropy,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.4, 'min_samples_leaf': 0.30000000000000004, 'max_features': 21, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': 'balanced'}",0.4917449737762238,0.5208333333333333,0.5062891535547785,0.014544179778554739,3754
0.009314656257629395,0.0020667314529418945,0.08808112144470215,0.010040283203125,best,27,0.9,0.2,14,35,gini,balanced,"{'splitter': 'best', 'random_state': 27, 'min_samples_split': 0.9, 'min_samples_leaf': 0.2, 'max_features': 14, 'max_depth': 35, 'criterion': 'gini', 'class_weight': 'balanced'}",0.5167905011655012,0.5208333333333333,0.5188119172494172,0.002021416083916039,2490
