start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0 days 00:00:00.640000,0 days 00:00:00.660000,0.45188472,-21.175873,25.810003,0.018364271,-0.0103287175,0.15040387,18.721107,38.349915,31.226969,-3.021311,31.40479,0.010793366,0.8113203,10.044015,18.840263,28.09954,534.3295,1596.269,-14.769657,1629.941,971.5429,-30.544693,2936.0056,1354.8553,-30.738989
0 days 00:00:00.650000,0 days 00:00:00.670000,0.47456527,-18.549109,24.019499,0.013669421,-0.006106349,0.10240054,13.849139,38.032196,31.503164,-0.30548176,31.415703,0.0117515335,0.6520965,8.549009,18.904495,24.499567,532.83655,1598.3408,-15.042043,1602.3446,889.9046,-31.699036,2915.4485,1300.5673,-28.783066
0 days 00:00:00.660000,0 days 00:00:00.680000,0.48318037,-16.457819,22.511007,0.008685601,-0.0038057733,0.09591881,9.689471,39.110413,34.047295,0.44592836,31.738565,0.0114725055,0.5032795,6.122951,16.680223,20.502981,520.4506,1660.0028,-17.464443,1611.9474,969.7444,-31.567148,2819.1497,1083.8359,-27.208878
0 days 00:00:00.670000,0 days 00:00:00.690000,0.49025655,-14.04501,20.887974,-0.0018426093,-0.0011144873,0.10246741,6.3768325,40.26235,34.651123,-1.3579316,33.06763,0.0055658794,0.40225068,5.2408633,15.991635,15.76711,509.58313,1741.1322,-24.225182,1591.0044,1137.9679,-34.181107,2634.8284,1213.4017,-24.873938
0 days 00:00:00.680000,0 days 00:00:00.700000,0.52087,-12.790497,20.743546,-0.0122357905,0.0022140627,0.11080974,5.4748397,33.851147,31.025427,3.2467453,34.588688,0.0039186776,0.25366086,5.92633,17.51697,13.959338,671.4711,1305.2037,0.0,1722.3771,1127.9423,-30.428232,2700.5908,1234.6079,-25.00316
0 days 00:00:00.690000,0 days 00:00:00.710000,0.5961297,-12.74443,21.083197,-0.014068871,0.00142297,0.2786092,7.9045014,25.831331,34.21787,5.159476,35.97293,0.0039186776,0.25366086,8.058572,20.844515,11.723126,894.85675,1571.2311,-41.500427,1788.9254,1047.0361,-32.412186,2833.7122,880.5894,-23.912867
0 days 00:00:00.700000,0 days 00:00:00.720000,0.72465855,-13.624896,21.538187,-0.0008153673,0.0013532314,0.411018,11.145729,17.025055,40.73476,4.915852,36.492676,0.0039186776,0.25366086,9.361449,21.932114,9.804484,899.5694,1470.3267,-41.500427,1820.5303,794.4619,-32.402325,2879.8762,901.3006,-23.161453
0 days 00:00:00.710000,0 days 00:00:00.730000,0.88406307,-14.009215,20.391907,0.02219704,-0.0037068252,0.53380996,11.691731,16.455774,49.644867,0.03453215,36.82839,0.055708736,0.54238105,10.378572,21.168806,6.1912727,553.346,1514.7471,0.0,1659.9528,617.9843,-37.762905,2591.0276,1103.3124,-20.549917
0 days 00:00:00.720000,0 days 00:00:00.740000,0.989227,-13.529358,19.2254,0.041789036,-0.0031483034,0.44798222,8.947579,17.797052,49.076416,-2.565962,36.975403,0.05984537,0.57009447,10.903305,19.842415,4.3880067,330.3903,1204.9653,0.0,1624.5186,491.23868,-38.752186,2439.9417,1175.4327,-19.65837
0 days 00:00:00.730000,0 days 00:00:00.750000,0.95481163,-13.320132,17.676027,0.052803677,-0.006216223,0.4190309,7.986113,18.428658,47.331585,-2.7891579,36.931866,0.062234204,0.7467025,10.051887,18.709345,4.190243,555.4593,1301.8019,0.0,1728.6971,490.6028,-36.755222,2637.742,1009.3286,-20.08293
0 days 00:00:00.740000,0 days 00:00:00.760000,0.7810244,-13.372059,16.992273,0.04494759,-0.003095922,0.41387865,9.142331,18.390617,46.451954,0.92913675,36.819645,0.010994273,0.92047286,6.994701,17.863264,2.8160038,564.5878,1316.1582,-47.998432,1762.7529,477.3539,-32.888264,2626.711,1294.1158,-20.021461
0 days 00:00:00.750000,0 days 00:00:00.770000,0.5789167,-11.572586,15.933093,0.019369116,-0.0048450828,0.42756078,7.9804063,18.710587,48.500072,3.662651,36.739517,0.008327121,1.2123086,5.0091934,17.617874,3.0053463,517.16064,1324.8516,0.0,1739.5497,394.84927,-86.98547,2612.7278,1336.3555,-80.9134
0 days 00:00:00.760000,0 days 00:00:00.780000,0.45007524,-5.4562936,10.296304,-0.001958643,0.012274136,0.3620709,-0.53631496,15.544957,50.235638,12.9511175,0.0,0.0,0.0,0.0,0.0,0.0,567.5366,950.5303,-201.0,1837.4286,554.3652,-143.02586,2633.786,1447.8248,-140.33868
0 days 00:00:00.770000,0 days 00:00:00.790000,0.37909842,2.2900143,2.3434052,-0.015521113,0.020182306,0.23514943,-9.197698,10.112939,46.584183,17.181486,0.0,0.0,0.0,0.0,0.0,0.0,830.9925,665.70825,-201.0,1970.4164,795.4329,-201.0,2835.95,1094.1244,-201.0
